"Step","deep-planet-14 - contrastive_loss","deep-planet-14 - contrastive_loss__MIN","deep-planet-14 - contrastive_loss__MAX"
"0","4.53125","4.53125","4.53125"
"10","4.5625","4.5625","4.5625"
"20","4.53125","4.53125","4.53125"
"30","4.53125","4.53125","4.53125"
"40","4.625","4.625","4.625"
"50","4.53125","4.53125","4.53125"
"60","4.625","4.625","4.625"
"70","4.59375","4.59375","4.59375"
"80","4.59375","4.59375","4.59375"
"90","4.53125","4.53125","4.53125"
"100","4.65625","4.65625","4.65625"
"110","4.59375","4.59375","4.59375"
"120","4.65625","4.65625","4.65625"
"130","4.5625","4.5625","4.5625"
"140","4.59375","4.59375","4.59375"
"150","4.59375","4.59375","4.59375"
"160","4.53125","4.53125","4.53125"
"170","4.59375","4.59375","4.59375"
"180","4.53125","4.53125","4.53125"
"190","4.5625","4.5625","4.5625"
"200","4.5625","4.5625","4.5625"
"210","4.625","4.625","4.625"
"220","4.5625","4.5625","4.5625"
"230","4.5625","4.5625","4.5625"
"240","4.6875","4.6875","4.6875"
"250","4.59375","4.59375","4.59375"
"260","4.5625","4.5625","4.5625"
"270","4.625","4.625","4.625"
"280","4.5625","4.5625","4.5625"
"290","4.625","4.625","4.625"
"300","4.59375","4.59375","4.59375"
"310","4.6875","4.6875","4.6875"
"320","4.625","4.625","4.625"
"330","4.59375","4.59375","4.59375"
"340","4.59375","4.59375","4.59375"
"350","4.5625","4.5625","4.5625"
"360","4.71875","4.71875","4.71875"
"370","4.625","4.625","4.625"
"380","4.6875","4.6875","4.6875"
"390","4.625","4.625","4.625"
"400","4.6875","4.6875","4.6875"
"410","4.5625","4.5625","4.5625"
"420","4.625","4.625","4.625"
"430","4.59375","4.59375","4.59375"
"440","4.5625","4.5625","4.5625"
"450","4.5625","4.5625","4.5625"
"460","4.6875","4.6875","4.6875"
"470","4.625","4.625","4.625"
"480","4.5625","4.5625","4.5625"
"490","4.71875","4.71875","4.71875"
"500","4.6875","4.6875","4.6875"
"510","4.6875","4.6875","4.6875"
"520","4.5625","4.5625","4.5625"
"530","4.71875","4.71875","4.71875"
"540","4.65625","4.65625","4.65625"
"550","4.625","4.625","4.625"
"560","4.65625","4.65625","4.65625"
"570","4.65625","4.65625","4.65625"
"580","4.59375","4.59375","4.59375"
"590","4.625","4.625","4.625"
"600","4.71875","4.71875","4.71875"
"610","4.65625","4.65625","4.65625"
"620","4.71875","4.71875","4.71875"
"630","4.5625","4.5625","4.5625"
"640","4.625","4.625","4.625"
"650","4.625","4.625","4.625"
"660","4.65625","4.65625","4.65625"
"670","4.625","4.625","4.625"
"680","4.5625","4.5625","4.5625"
"690","4.59375","4.59375","4.59375"
"700","4.59375","4.59375","4.59375"
"710","4.65625","4.65625","4.65625"
"720","4.71875","4.71875","4.71875"
"730","4.59375","4.59375","4.59375"
"740","4.5625","4.5625","4.5625"
"750","4.75","4.75","4.75"
"760","4.65625","4.65625","4.65625"
"770","4.71875","4.71875","4.71875"
"780","4.65625","4.65625","4.65625"
"790","4.5625","4.5625","4.5625"
"800","4.625","4.625","4.625"
"810","4.59375","4.59375","4.59375"
"820","4.65625","4.65625","4.65625"
"830","4.625","4.625","4.625"
"840","4.625","4.625","4.625"
"850","4.59375","4.59375","4.59375"
"860","4.625","4.625","4.625"
"870","4.59375","4.59375","4.59375"
"880","4.6875","4.6875","4.6875"
"890","4.6875","4.6875","4.6875"
"900","4.59375","4.59375","4.59375"
"910","4.5625","4.5625","4.5625"
"920","4.625","4.625","4.625"
"930","4.625","4.625","4.625"
"940","4.625","4.625","4.625"
"950","4.71875","4.71875","4.71875"
"960","4.59375","4.59375","4.59375"
"970","4.625","4.625","4.625"
"980","4.59375","4.59375","4.59375"
"990","4.65625","4.65625","4.65625"
"1000","4.59375","4.59375","4.59375"
"1010","4.59375","4.59375","4.59375"
"1020","4.71875","4.71875","4.71875"
"1030","4.65625","4.65625","4.65625"
"1040","4.59375","4.59375","4.59375"
"1050","4.6875","4.6875","4.6875"
"1060","4.625","4.625","4.625"
"1070","4.65625","4.65625","4.65625"
"1080","4.625","4.625","4.625"
"1090","4.625","4.625","4.625"
"1100","4.625","4.625","4.625"
"1110","4.59375","4.59375","4.59375"
"1120","4.625","4.625","4.625"
"1130","4.6875","4.6875","4.6875"
"1140","4.59375","4.59375","4.59375"
"1150","4.65625","4.65625","4.65625"
