"Step","deep-planet-14 - cov_loss","deep-planet-14 - cov_loss__MIN","deep-planet-14 - cov_loss__MAX"
"0","2.46875","2.46875","2.46875"
"10","1.84375","1.84375","1.84375"
"20","1.609375","1.609375","1.609375"
"30","1.8046875","1.8046875","1.8046875"
"40","2.203125","2.203125","2.203125"
"50","1.609375","1.609375","1.609375"
"60","1.7578125","1.7578125","1.7578125"
"70","1.4375","1.4375","1.4375"
"80","1.5234375","1.5234375","1.5234375"
"90","1.8671875","1.8671875","1.8671875"
"100","2.734375","2.734375","2.734375"
"110","1.6328125","1.6328125","1.6328125"
"120","1.96875","1.96875","1.96875"
"130","1.71875","1.71875","1.71875"
"140","1.4453125","1.4453125","1.4453125"
"150","2.21875","2.21875","2.21875"
"160","1.7578125","1.7578125","1.7578125"
"170","1.828125","1.828125","1.828125"
"180","2.140625","2.140625","2.140625"
"190","1.484375","1.484375","1.484375"
"200","2.171875","2.171875","2.171875"
"210","1.53125","1.53125","1.53125"
"220","1.6484375","1.6484375","1.6484375"
"230","2.171875","2.171875","2.171875"
"240","1.671875","1.671875","1.671875"
"250","1.8046875","1.8046875","1.8046875"
"260","1.9140625","1.9140625","1.9140625"
"270","1.65625","1.65625","1.65625"
"280","2.046875","2.046875","2.046875"
"290","1.4453125","1.4453125","1.4453125"
"300","1.6640625","1.6640625","1.6640625"
"310","1.9296875","1.9296875","1.9296875"
"320","1.390625","1.390625","1.390625"
"330","1.640625","1.640625","1.640625"
"340","1.59375","1.59375","1.59375"
"350","1.65625","1.65625","1.65625"
"360","1.5546875","1.5546875","1.5546875"
"370","2.09375","2.09375","2.09375"
"380","1.71875","1.71875","1.71875"
"390","2.046875","2.046875","2.046875"
"400","1.5859375","1.5859375","1.5859375"
"410","1.859375","1.859375","1.859375"
"420","1.6484375","1.6484375","1.6484375"
"430","1.921875","1.921875","1.921875"
"440","1.2734375","1.2734375","1.2734375"
"450","1.671875","1.671875","1.671875"
"460","1.453125","1.453125","1.453125"
"470","1.640625","1.640625","1.640625"
"480","1.4609375","1.4609375","1.4609375"
"490","1.6953125","1.6953125","1.6953125"
"500","1.3984375","1.3984375","1.3984375"
"510","1.7421875","1.7421875","1.7421875"
"520","1.4453125","1.4453125","1.4453125"
"530","1.4609375","1.4609375","1.4609375"
"540","1.3125","1.3125","1.3125"
"550","1.2734375","1.2734375","1.2734375"
"560","1.2890625","1.2890625","1.2890625"
"570","1.5","1.5","1.5"
"580","1.6328125","1.6328125","1.6328125"
"590","1.8125","1.8125","1.8125"
"600","1.46875","1.46875","1.46875"
"610","1.2578125","1.2578125","1.2578125"
"620","1.515625","1.515625","1.515625"
"630","1.234375","1.234375","1.234375"
"640","1.3359375","1.3359375","1.3359375"
"650","1.7265625","1.7265625","1.7265625"
"660","1.2890625","1.2890625","1.2890625"
"670","1.40625","1.40625","1.40625"
"680","1.3046875","1.3046875","1.3046875"
"690","1.1328125","1.1328125","1.1328125"
"700","1.1875","1.1875","1.1875"
"710","1.328125","1.328125","1.328125"
"720","1.4140625","1.4140625","1.4140625"
"730","1.1953125","1.1953125","1.1953125"
"740","1.1328125","1.1328125","1.1328125"
"750","1.5234375","1.5234375","1.5234375"
"760","1.53125","1.53125","1.53125"
"770","1.3984375","1.3984375","1.3984375"
"780","1.640625","1.640625","1.640625"
"790","1.0703125","1.0703125","1.0703125"
"800","1.15625","1.15625","1.15625"
"810","1.15625","1.15625","1.15625"
"820","1.6484375","1.6484375","1.6484375"
"830","1.390625","1.390625","1.390625"
"840","1.4609375","1.4609375","1.4609375"
"850","1.3671875","1.3671875","1.3671875"
"860","1.0390625","1.0390625","1.0390625"
"870","1.078125","1.078125","1.078125"
"880","1.109375","1.109375","1.109375"
"890","1.2734375","1.2734375","1.2734375"
"900","1.28125","1.28125","1.28125"
"910","1.0859375","1.0859375","1.0859375"
"920","1.34375","1.34375","1.34375"
"930","1.4765625","1.4765625","1.4765625"
"940","1.1796875","1.1796875","1.1796875"
"950","1.4140625","1.4140625","1.4140625"
"960","1.25","1.25","1.25"
"970","1.2734375","1.2734375","1.2734375"
"980","1.0546875","1.0546875","1.0546875"
"990","1.3359375","1.3359375","1.3359375"
"1000","0.953125","0.953125","0.953125"
"1010","1.2265625","1.2265625","1.2265625"
"1020","1.34375","1.34375","1.34375"
"1030","1.0859375","1.0859375","1.0859375"
"1040","1.0390625","1.0390625","1.0390625"
"1050","1.28125","1.28125","1.28125"
"1060","1.0546875","1.0546875","1.0546875"
"1070","1.390625","1.390625","1.390625"
"1080","1.1484375","1.1484375","1.1484375"
"1090","0.98046875","0.98046875","0.98046875"
"1100","1.328125","1.328125","1.328125"
"1110","1.1484375","1.1484375","1.1484375"
"1120","1.21875","1.21875","1.21875"
"1130","1.6640625","1.6640625","1.6640625"
"1140","1.1015625","1.1015625","1.1015625"
"1150","1.859375","1.859375","1.859375"
"1160","1.9453125","1.9453125","1.9453125"
"1170","1.0625","1.0625","1.0625"
"1180","1.75","1.75","1.75"
"1190","1.1875","1.1875","1.1875"
"1200","2","2","2"
"1210","1.4765625","1.4765625","1.4765625"
"1220","1.828125","1.828125","1.828125"
"1230","0.94921875","0.94921875","0.94921875"
"1240","1.5625","1.5625","1.5625"
