"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"0","296","296","296"
"10","360","360","360"
"20","392","392","392"
"30","364","364","364"
"40","320","320","320"
"50","392","392","392"
"60","370","370","370"
"70","420","420","420"
"80","408","408","408"
"90","358","358","358"
"100","274","274","274"
"110","388","388","388"
"120","344","344","344"
"130","376","376","376"
"140","418","418","418"
"150","318","318","318"
"160","370","370","370"
"170","362","362","362"
"180","326","326","326"
"190","412","412","412"
"200","322","322","322"
"210","404","404","404"
"220","388","388","388"
"230","322","322","322"
"240","384","384","384"
"250","364","364","364"
"260","352","352","352"
"270","386","386","386"
"280","336","336","336"
"290","420","420","420"
"300","386","386","386"
"310","350","350","350"
"320","428","428","428"
"330","388","388","388"
"340","394","394","394"
"350","386","386","386"
"360","402","402","402"
"370","330","330","330"
"380","376","376","376"
"390","336","336","336"
"400","398","398","398"
"410","358","358","358"
"420","388","388","388"
"430","350","350","350"
"440","452","452","452"
"450","384","384","384"
"460","418","418","418"
"470","388","388","388"
"480","414","414","414"
"490","378","378","378"
"500","426","426","426"
"510","372","372","372"
"520","420","420","420"
"530","418","418","418"
"540","442","442","442"
"550","452","452","452"
"560","448","448","448"
"570","410","410","410"
"580","390","390","390"
"590","364","364","364"
"600","414","414","414"
"610","456","456","456"
"620","408","408","408"
"630","458","458","458"
"640","440","440","440"
"650","374","374","374"
"660","448","448","448"
"670","426","426","426"
"680","442","442","442"
"690","478","478","478"
"700","468","468","468"
"710","440","440","440"
"720","422","422","422"
"730","468","468","468"
"740","478","478","478"
"750","408","408","408"
"760","404","404","404"
"770","426","426","426"
"780","388","388","388"
"790","496","496","496"
"800","474","474","474"
"810","474","474","474"
"820","386","386","386"
"830","428","428","428"
"840","414","414","414"
"850","432","432","432"
"860","504","504","504"
"870","492","492","492"
"880","486","486","486"
"890","452","452","452"
"900","448","448","448"
"910","490","490","490"
"920","436","436","436"
"930","414","414","414"
"940","472","472","472"
"950","422","422","422"
"960","456","456","456"
"970","448","448","448"
"980","496","496","496"
"990","440","440","440"
"1000","524","524","524"
"1010","462","462","462"
"1020","436","436","436"
"1030","492","492","492"
"1040","500","500","500"
"1050","448","448","448"
"1060","496","496","496"
"1070","428","428","428"
"1080","478","478","478"
"1090","520","520","520"
"1100","440","440","440"
"1110","478","478","478"
"1120","462","462","462"
"1130","384","384","384"
"1140","486","486","486"
"1150","358","358","358"
"1160","346","346","346"
"1170","496","496","496"
"1180","372","372","372"
"1190","468","468","468"
"1200","342","342","342"
"1210","414","414","414"
"1220","362","362","362"
"1230","528","528","528"
"1240","400","400","400"
"1250","316","316","316"
"1260","394","394","394"
"1270","464","464","464"
"1280","398","398","398"
"1290","360","360","360"
"1300","446","446","446"
"1310","478","478","478"
"1320","426","426","426"
"1330","508","508","508"
"1340","364","364","364"
"1350","360","360","360"
"1360","390","390","390"
"1370","492","492","492"
"1380","330","330","330"
"1390","414","414","414"
"1400","306","306","306"
"1410","452","452","452"
"1420","334","334","334"
"1430","306","306","306"
"1440","352","352","352"
"1450","326","326","326"
"1460","282","282","282"
"1470","440","440","440"
"1480","508","508","508"
"1490","400","400","400"
"1500","452","452","452"
"1510","296","296","296"
"1520","402","402","402"
"1530","418","418","418"
"1540","394","394","394"
"1550","306","306","306"
"1560","426","426","426"
"1570","490","490","490"
"1580","384","384","384"
"1590","278","278","278"
"1600","404","404","404"
"1610","324","324","324"
"1620","342","342","342"
"1630","306","306","306"
"1640","336","336","336"
"1650","348","348","348"
"1660","468","468","468"
"1670","386","386","386"
"1680","262","262","262"
"1690","376","376","376"
"1700","300","300","300"
"1710","372","372","372"
"1720","304","304","304"
"1730","366","366","366"
"1740","296","296","296"
"1750","316","316","316"
"1760","284","284","284"
"1770","420","420","420"
"1780","352","352","352"
"1790","446","446","446"
"1800","294","294","294"
"1810","386","386","386"
"1820","370","370","370"
"1830","404","404","404"
"1840","378","378","378"
"1850","432","432","432"
"1860","446","446","446"
"1870","296","296","296"
"1880","310","310","310"
"1890","362","362","362"
"1900","468","468","468"
"1910","328","328","328"
"1920","274","274","274"
"1930","260","260","260"
"1940","372","372","372"
"1950","342","342","342"
"1960","284","284","284"
"1970","360","360","360"
"1980","300","300","300"
"1990","408","408","408"
"2000","464","464","464"
"2010","274","274","274"
"2020","468","468","468"
"2030","496","496","496"
"2040","446","446","446"
"2050","302","302","302"
"2060","356","356","356"
"2070","245","245","245"
"2080","322","322","322"
"2090","410","410","410"
"2100","346","346","346"
"2110","282","282","282"
"2120","434","434","434"
"2130","266","266","266"
"2140","260","260","260"
"2150","354","354","354"
"2160","324","324","324"
"2170","266","266","266"
"2180","306","306","306"
"2190","354","354","354"
"2200","312","312","312"
"2210","243","243","243"
"2220","288","288","288"
"2230","462","462","462"
"2240","258","258","258"
"2250","376","376","376"
"2260","352","352","352"
"2270","338","338","338"
"2280","326","326","326"
"2290","328","328","328"
"2300","270","270","270"
"2310","246","246","246"
"2320","316","316","316"
"2330","276","276","276"
"2340","330","330","330"
"2350","266","266","266"
"2360","346","346","346"
"2370","344","344","344"
"2380","366","366","366"
"2390","334","334","334"
"2400","368","368","368"
"2410","322","322","322"
"2420","298","298","298"
"2430","239","239","239"
"2440","408","408","408"
"2450","306","306","306"
"2460","258","258","258"
"2470","262","262","262"
"2480","264","264","264"
