"Step","deep-planet-14 - ce_loss","deep-planet-14 - ce_loss__MIN","deep-planet-14 - ce_loss__MAX"
"0","11.5","11.5","11.5"
"10","11.4375","11.4375","11.4375"
"20","11.4375","11.4375","11.4375"
"30","11.25","11.25","11.25"
"40","10.8125","10.8125","10.8125"
"50","10.9375","10.9375","10.9375"
"60","10.375","10.375","10.375"
"70","10.4375","10.4375","10.4375"
"80","10.0625","10.0625","10.0625"
"90","10.5625","10.5625","10.5625"
"100","9.6875","9.6875","9.6875"
"110","9.3125","9.3125","9.3125"
"120","8.8125","8.8125","8.8125"
"130","9.25","9.25","9.25"
"140","9.1875","9.1875","9.1875"
"150","9.1875","9.1875","9.1875"
"160","10","10","10"
"170","8.5625","8.5625","8.5625"
"180","9.5625","9.5625","9.5625"
"190","9.125","9.125","9.125"
"200","8.3125","8.3125","8.3125"
"210","7.875","7.875","7.875"
"220","8.1875","8.1875","8.1875"
"230","8.375","8.375","8.375"
"240","7.0625","7.0625","7.0625"
"250","7.9375","7.9375","7.9375"
"260","8.4375","8.4375","8.4375"
"270","8.25","8.25","8.25"
"280","8.25","8.25","8.25"
"290","7.375","7.375","7.375"
"300","8.1875","8.1875","8.1875"
"310","6.84375","6.84375","6.84375"
"320","7.6875","7.6875","7.6875"
"330","7.6875","7.6875","7.6875"
"340","8.25","8.25","8.25"
"350","8.0625","8.0625","8.0625"
"360","6.78125","6.78125","6.78125"
"370","6.9375","6.9375","6.9375"
"380","6.65625","6.65625","6.65625"
"390","7.03125","7.03125","7.03125"
"400","7","7","7"
"410","7.46875","7.46875","7.46875"
"420","7.78125","7.78125","7.78125"
"430","7.21875","7.21875","7.21875"
"440","7.5","7.5","7.5"
"450","7.25","7.25","7.25"
"460","7.25","7.25","7.25"
"470","7.03125","7.03125","7.03125"
"480","7.375","7.375","7.375"
"490","6.53125","6.53125","6.53125"
"500","6.71875","6.71875","6.71875"
"510","6.46875","6.46875","6.46875"
"520","7","7","7"
"530","6.21875","6.21875","6.21875"
"540","6.8125","6.8125","6.8125"
"550","6.71875","6.71875","6.71875"
"560","7.25","7.25","7.25"
"570","6.5","6.5","6.5"
"580","7.375","7.375","7.375"
"590","6.9375","6.9375","6.9375"
