"Step","phase1-awakening - loss","phase1-awakening - loss__MIN","phase1-awakening - loss__MAX"
"0","613.9486694335938","613.9486694335938","613.9486694335938"
"1","667.513916015625","667.513916015625","667.513916015625"
"2","539.7855834960938","539.7855834960938","539.7855834960938"
"3","512.43701171875","512.43701171875","512.43701171875"
"4","450.2935791015625","450.2935791015625","450.2935791015625"
"5","407.9239196777344","407.9239196777344","407.9239196777344"
"6","455.6579284667969","455.6579284667969","455.6579284667969"
"7","362.5005187988281","362.5005187988281","362.5005187988281"
"8","331.3069763183594","331.3069763183594","331.3069763183594"
"9","395.117919921875","395.117919921875","395.117919921875"
"10","403.1621398925781","403.1621398925781","403.1621398925781"
"11","341.9564208984375","341.9564208984375","341.9564208984375"
"12","317.4044494628906","317.4044494628906","317.4044494628906"
"13","301.52410888671875","301.52410888671875","301.52410888671875"
"14","387.64752197265625","387.64752197265625","387.64752197265625"
"15","327.45904541015625","327.45904541015625","327.45904541015625"
"16","328.8604736328125","328.8604736328125","328.8604736328125"
"17","303.1901550292969","303.1901550292969","303.1901550292969"
"18","348.0611572265625","348.0611572265625","348.0611572265625"
"19","323.1357116699219","323.1357116699219","323.1357116699219"
"20","285.89239501953125","285.89239501953125","285.89239501953125"
"21","381.2096252441406","381.2096252441406","381.2096252441406"
"22","340.8070373535156","340.8070373535156","340.8070373535156"
"23","342.465087890625","342.465087890625","342.465087890625"
"24","307.202392578125","307.202392578125","307.202392578125"
"25","282.2594909667969","282.2594909667969","282.2594909667969"
"26","287.6903076171875","287.6903076171875","287.6903076171875"
"27","325.9659423828125","325.9659423828125","325.9659423828125"
"28","287.9913635253906","287.9913635253906","287.9913635253906"
"29","306.643310546875","306.643310546875","306.643310546875"
"30","275.5036315917969","275.5036315917969","275.5036315917969"
"31","291.36138916015625","291.36138916015625","291.36138916015625"
"32","265.6967468261719","265.6967468261719","265.6967468261719"
"33","300.65765380859375","300.65765380859375","300.65765380859375"
"34","336.18212890625","336.18212890625","336.18212890625"
"35","315.8655090332031","315.8655090332031","315.8655090332031"
"36","267.9880676269531","267.9880676269531","267.9880676269531"
"37","345.45550537109375","345.45550537109375","345.45550537109375"
"38","380.4934997558594","380.4934997558594","380.4934997558594"
"39","271.7729187011719","271.7729187011719","271.7729187011719"
"40","320.54144287109375","320.54144287109375","320.54144287109375"
"41","328.11065673828125","328.11065673828125","328.11065673828125"
"42","305.9283142089844","305.9283142089844","305.9283142089844"
"43","252.17454528808594","252.17454528808594","252.17454528808594"
"44","312.8594055175781","312.8594055175781","312.8594055175781"
"45","311.6373291015625","311.6373291015625","311.6373291015625"
"46","234.71177673339844","234.71177673339844","234.71177673339844"
"47","335.4278259277344","335.4278259277344","335.4278259277344"
"48","349.0754699707031","349.0754699707031","349.0754699707031"
"49","293.7841491699219","293.7841491699219","293.7841491699219"
"50","319.4055480957031","319.4055480957031","319.4055480957031"
"51","314.5277404785156","314.5277404785156","314.5277404785156"
"52","288.7949523925781","288.7949523925781","288.7949523925781"
"53","270.281982421875","270.281982421875","270.281982421875"
"54","442.17047119140625","442.17047119140625","442.17047119140625"
"55","324.219482421875","324.219482421875","324.219482421875"
"56","293.3985900878906","293.3985900878906","293.3985900878906"
"57","304.5887145996094","304.5887145996094","304.5887145996094"
"58","319.89276123046875","319.89276123046875","319.89276123046875"
"59","276.1385803222656","276.1385803222656","276.1385803222656"
"60","359.21685791015625","359.21685791015625","359.21685791015625"
"61","285.4543762207031","285.4543762207031","285.4543762207031"
"62","290.1601867675781","290.1601867675781","290.1601867675781"
"63","293.428955078125","293.428955078125","293.428955078125"
"64","281.9568176269531","281.9568176269531","281.9568176269531"
"65","298.13690185546875","298.13690185546875","298.13690185546875"
"66","331.0751647949219","331.0751647949219","331.0751647949219"
"67","284.00994873046875","284.00994873046875","284.00994873046875"
"68","296.8354187011719","296.8354187011719","296.8354187011719"
"69","269.5085754394531","269.5085754394531","269.5085754394531"
"70","308.53692626953125","308.53692626953125","308.53692626953125"
"71","284.8923645019531","284.8923645019531","284.8923645019531"
"72","340.9856872558594","340.9856872558594","340.9856872558594"
"73","361.1363525390625","361.1363525390625","361.1363525390625"
"74","329.4815673828125","329.4815673828125","329.4815673828125"
