"Step","phase1-reasoning - train/l30_mse","phase1-reasoning - train/l30_mse__MIN","phase1-reasoning - train/l30_mse__MAX"
"0","25.20583927631378","25.20583927631378","25.20583927631378"
"1","16.63329267501831","16.63329267501831","16.63329267501831"
"2","13.260480523109436","13.260480523109436","13.260480523109436"
"3","16.201959252357483","16.201959252357483","16.201959252357483"
"4","21.125917196273804","21.125917196273804","21.125917196273804"
"5","20.866774082183838","20.866774082183838","20.866774082183838"
"6","20.90984606742859","20.90984606742859","20.90984606742859"
"7","13.3739755153656","13.3739755153656","13.3739755153656"
"8","20.512685537338257","20.512685537338257","20.512685537338257"
"9","17.236865162849426","17.236865162849426","17.236865162849426"
"10","17.68787968158722","17.68787968158722","17.68787968158722"
"11","19.214004516601562","19.214004516601562","19.214004516601562"
"12","20.30538296699524","20.30538296699524","20.30538296699524"
"13","22.74289107322693","22.74289107322693","22.74289107322693"
"14","17.858570337295532","17.858570337295532","17.858570337295532"
"15","13.384454131126404","13.384454131126404","13.384454131126404"
"16","10.766821384429932","10.766821384429932","10.766821384429932"
"17","20.882290363311768","20.882290363311768","20.882290363311768"
"18","6.944748401641846","6.944748401641846","6.944748401641846"
"19","18.690468907356262","18.690468907356262","18.690468907356262"
"20","22.043700575828552","22.043700575828552","22.043700575828552"
"21","16.391250252723694","16.391250252723694","16.391250252723694"
"22","13.178018450737","13.178018450737","13.178018450737"
"23","19.18055546283722","19.18055546283722","19.18055546283722"
"24","15.526851534843445","15.526851534843445","15.526851534843445"
"25","16.509614944458008","16.509614944458008","16.509614944458008"
"26","23.225752234458923","23.225752234458923","23.225752234458923"
"27","16.96603512763977","16.96603512763977","16.96603512763977"
"28","13.862546682357788","13.862546682357788","13.862546682357788"
"29","16.47497570514679","16.47497570514679","16.47497570514679"
"30","18.08043611049652","18.08043611049652","18.08043611049652"
"31","22.598817706108093","22.598817706108093","22.598817706108093"
"32","18.173727989196777","18.173727989196777","18.173727989196777"
"33","20.56448221206665","20.56448221206665","20.56448221206665"
"34","17.338539242744446","17.338539242744446","17.338539242744446"
"35","12.104801654815674","12.104801654815674","12.104801654815674"
"36","14.917096972465515","14.917096972465515","14.917096972465515"
"37","21.58204436302185","21.58204436302185","21.58204436302185"
"38","13.370800971984863","13.370800971984863","13.370800971984863"
"39","19.0634628534317","19.0634628534317","19.0634628534317"
"40","15.203630447387695","15.203630447387695","15.203630447387695"
"41","14.308684349060059","14.308684349060059","14.308684349060059"
"42","16.05363893508911","16.05363893508911","16.05363893508911"
"43","17.84760570526123","17.84760570526123","17.84760570526123"
"44","18.883163452148438","18.883163452148438","18.883163452148438"
"45","18.179109811782837","18.179109811782837","18.179109811782837"
"46","18.766417264938354","18.766417264938354","18.766417264938354"
"47","16.366727232933044","16.366727232933044","16.366727232933044"
"48","9.297181963920593","9.297181963920593","9.297181963920593"
"49","20.061206340789795","20.061206340789795","20.061206340789795"
