"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"0","25.0150306224823","25.0150306224823","25.0150306224823"
"1","33.418569564819336","33.418569564819336","33.418569564819336"
"2","27.302703380584717","27.302703380584717","27.302703380584717"
"3","33.119330406188965","33.119330406188965","33.119330406188965"
"4","27.059614181518555","27.059614181518555","27.059614181518555"
"5","27.60070490837097","27.60070490837097","27.60070490837097"
"6","28.617061853408813","28.617061853408813","28.617061853408813"
"7","23.96371817588806","23.96371817588806","23.96371817588806"
"8","28.103878498077393","28.103878498077393","28.103878498077393"
"9","27.99197745323181","27.99197745323181","27.99197745323181"
"10","30.28521490097046","30.28521490097046","30.28521490097046"
"11","24.4007465839386","24.4007465839386","24.4007465839386"
"12","25.26964235305786","25.26964235305786","25.26964235305786"
"13","23.567152500152588","23.567152500152588","23.567152500152588"
"14","24.50416135787964","24.50416135787964","24.50416135787964"
"15","29.844112157821655","29.844112157821655","29.844112157821655"
"16","23.232884407043457","23.232884407043457","23.232884407043457"
"17","27.840148210525513","27.840148210525513","27.840148210525513"
"18","33.649174213409424","33.649174213409424","33.649174213409424"
"19","25.14338183403015","25.14338183403015","25.14338183403015"
"20","24.739083766937256","24.739083766937256","24.739083766937256"
"21","23.97186779975891","23.97186779975891","23.97186779975891"
"22","26.048957586288452","26.048957586288452","26.048957586288452"
"23","23.644347190856934","23.644347190856934","23.644347190856934"
"24","25.41729187965393","25.41729187965393","25.41729187965393"
"26","23.36500120162964","23.36500120162964","23.36500120162964"
"27","24.875702381134033","24.875702381134033","24.875702381134033"
"28","26.43896245956421","26.43896245956421","26.43896245956421"
"29","23.383617162704468","23.383617162704468","23.383617162704468"
"30","25.77070689201355","25.77070689201355","25.77070689201355"
"31","24.41696810722351","24.41696810722351","24.41696810722351"
"32","24.17290949821472","24.17290949821472","24.17290949821472"
"33","25.030203580856323","25.030203580856323","25.030203580856323"
"34","23.884889364242554","23.884889364242554","23.884889364242554"
"35","23.38146734237671","23.38146734237671","23.38146734237671"
"36","22.657387495040894","22.657387495040894","22.657387495040894"
"37","24.02070665359497","24.02070665359497","24.02070665359497"
"38","22.97486162185669","22.97486162185669","22.97486162185669"
"39","26.281291246414185","26.281291246414185","26.281291246414185"
"40","23.41683006286621","23.41683006286621","23.41683006286621"
"41","22.272819995880127","22.272819995880127","22.272819995880127"
"42","23.280426263809204","23.280426263809204","23.280426263809204"
"43","23.902523040771484","23.902523040771484","23.902523040771484"
"44","22.13182258605957","22.13182258605957","22.13182258605957"
"45","24.684906244277954","24.684906244277954","24.684906244277954"
"46","24.828698873519897","24.828698873519897","24.828698873519897"
"47","23.18267011642456","23.18267011642456","23.18267011642456"
"48","23.23203444480896","23.23203444480896","23.23203444480896"
"49","23.083253383636475","23.083253383636475","23.083253383636475"
"50","21.286481857299805","21.286481857299805","21.286481857299805"
"52","23.280150651931763","23.280150651931763","23.280150651931763"
"53","23.376683235168457","23.376683235168457","23.376683235168457"
"54","23.167048931121826","23.167048931121826","23.167048931121826"
"55","25.37433385848999","25.37433385848999","25.37433385848999"
"56","25.72676706314087","25.72676706314087","25.72676706314087"
"57","26.60665202140808","26.60665202140808","26.60665202140808"
"58","23.36618709564209","23.36618709564209","23.36618709564209"
"59","24.691081523895264","24.691081523895264","24.691081523895264"
