"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"0","323.69294357299805","323.69294357299805","323.69294357299805"
"1","323.35821533203125","323.35821533203125","323.35821533203125"
"2","324.0990982055664","324.0990982055664","324.0990982055664"
"3","323.47976303100586","323.47976303100586","323.47976303100586"
"4","323.9852867126465","323.9852867126465","323.9852867126465"
"5","322.65639877319336","322.65639877319336","322.65639877319336"
"6","323.4311828613281","323.4311828613281","323.4311828613281"
"7","322.8498649597168","322.8498649597168","322.8498649597168"
"8","323.90970611572266","323.90970611572266","323.90970611572266"
"9","323.1241683959961","323.1241683959961","323.1241683959961"
"10","323.2627143859863","323.2627143859863","323.2627143859863"
"11","323.90685272216797","323.90685272216797","323.90685272216797"
"12","323.67066955566406","323.67066955566406","323.67066955566406"
"13","324.33162689208984","324.33162689208984","324.33162689208984"
"14","322.71849822998047","322.71849822998047","322.71849822998047"
"15","324.8727340698242","324.8727340698242","324.8727340698242"
"16","323.90161514282227","323.90161514282227","323.90161514282227"
"17","323.64647674560547","323.64647674560547","323.64647674560547"
"18","324.0282211303711","324.0282211303711","324.0282211303711"
"19","322.9905700683594","322.9905700683594","322.9905700683594"
"20","323.1905860900879","323.1905860900879","323.1905860900879"
"21","325.2553367614746","325.2553367614746","325.2553367614746"
"22","323.60720443725586","323.60720443725586","323.60720443725586"
"23","324.0483818054199","324.0483818054199","324.0483818054199"
"24","324.12074279785156","324.12074279785156","324.12074279785156"
"26","324.2380142211914","324.2380142211914","324.2380142211914"
"27","324.15851974487305","324.15851974487305","324.15851974487305"
"28","325.5264472961426","325.5264472961426","325.5264472961426"
"29","324.7956199645996","324.7956199645996","324.7956199645996"
"30","324.35971450805664","324.35971450805664","324.35971450805664"
"31","324.64899826049805","324.64899826049805","324.64899826049805"
"32","324.3692932128906","324.3692932128906","324.3692932128906"
"33","325.2468605041504","325.2468605041504","325.2468605041504"
"34","326.22899627685547","326.22899627685547","326.22899627685547"
"35","327.0634880065918","327.0634880065918","327.0634880065918"
"36","326.63744735717773","326.63744735717773","326.63744735717773"
"37","326.45494079589844","326.45494079589844","326.45494079589844"
"38","325.9734992980957","325.9734992980957","325.9734992980957"
"39","326.0743865966797","326.0743865966797","326.0743865966797"
"40","327.124698638916","327.124698638916","327.124698638916"
"41","327.4558868408203","327.4558868408203","327.4558868408203"
"42","327.38212966918945","327.38212966918945","327.38212966918945"
"43","325.9678077697754","325.9678077697754","325.9678077697754"
"44","328.48321533203125","328.48321533203125","328.48321533203125"
"45","326.817440032959","326.817440032959","326.817440032959"
"46","328.82424545288086","328.82424545288086","328.82424545288086"
"47","328.88515853881836","328.88515853881836","328.88515853881836"
"48","328.50968170166016","328.50968170166016","328.50968170166016"
"49","329.02257919311523","329.02257919311523","329.02257919311523"
"50","330.307186126709","330.307186126709","330.307186126709"
"52","328.5472717285156","328.5472717285156","328.5472717285156"
"53","330.75640869140625","330.75640869140625","330.75640869140625"
"54","330.06751251220703","330.06751251220703","330.06751251220703"
"55","329.7317657470703","329.7317657470703","329.7317657470703"
"56","331.18374252319336","331.18374252319336","331.18374252319336"
"57","330.4119186401367","330.4119186401367","330.4119186401367"
"58","330.12853622436523","330.12853622436523","330.12853622436523"
"59","330.5078811645508","330.5078811645508","330.5078811645508"
"60","332.94520568847656","332.94520568847656","332.94520568847656"
"61","331.03040313720703","331.03040313720703","331.03040313720703"
"62","331.5317916870117","331.5317916870117","331.5317916870117"
"63","331.4866065979004","331.4866065979004","331.4866065979004"
"64","334.4545783996582","334.4545783996582","334.4545783996582"
"65","335.09437561035156","335.09437561035156","335.09437561035156"
"66","333.3974914550781","333.3974914550781","333.3974914550781"
"67","333.6961479187012","333.6961479187012","333.6961479187012"
"68","334.41516494750977","334.41516494750977","334.41516494750977"
"69","335.57056045532227","335.57056045532227","335.57056045532227"
"70","334.7889976501465","334.7889976501465","334.7889976501465"
"71","334.70850372314453","334.70850372314453","334.70850372314453"
"72","336.3656806945801","336.3656806945801","336.3656806945801"
"73","335.74073028564453","335.74073028564453","335.74073028564453"
"74","335.4792594909668","335.4792594909668","335.4792594909668"
"75","335.80908966064453","335.80908966064453","335.80908966064453"
"76","337.86809158325195","337.86809158325195","337.86809158325195"
"78","336.0907859802246","336.0907859802246","336.0907859802246"
"79","337.0381736755371","337.0381736755371","337.0381736755371"
"80","338.4461898803711","338.4461898803711","338.4461898803711"
"81","337.6068916320801","337.6068916320801","337.6068916320801"
"82","338.44561767578125","338.44561767578125","338.44561767578125"
"83","337.94361114501953","337.94361114501953","337.94361114501953"
"84","337.8654022216797","337.8654022216797","337.8654022216797"
"85","338.92528533935547","338.92528533935547","338.92528533935547"
"86","339.3125305175781","339.3125305175781","339.3125305175781"
"87","338.4104995727539","338.4104995727539","338.4104995727539"
"88","339.3156089782715","339.3156089782715","339.3156089782715"
"89","339.5221710205078","339.5221710205078","339.5221710205078"
"90","340.43643951416016","340.43643951416016","340.43643951416016"
"91","339.20702362060547","339.20702362060547","339.20702362060547"
"92","341.6592788696289","341.6592788696289","341.6592788696289"
"93","341.92491912841797","341.92491912841797","341.92491912841797"
"94","341.3296203613281","341.3296203613281","341.3296203613281"
"95","340.68494033813477","340.68494033813477","340.68494033813477"
"96","342.37940216064453","342.37940216064453","342.37940216064453"
"97","340.4642105102539","340.4642105102539","340.4642105102539"
"98","343.1072463989258","343.1072463989258","343.1072463989258"
"99","340.89576721191406","340.89576721191406","340.89576721191406"
"100","344.21492767333984","344.21492767333984","344.21492767333984"
"101","342.0458221435547","342.0458221435547","342.0458221435547"
"102","343.60968017578125","343.60968017578125","343.60968017578125"
"104","342.080020904541","342.080020904541","342.080020904541"
"105","344.3903579711914","344.3903579711914","344.3903579711914"
"106","345.4065971374512","345.4065971374512","345.4065971374512"
"107","344.7072525024414","344.7072525024414","344.7072525024414"
"108","345.27537536621094","345.27537536621094","345.27537536621094"
"109","347.5080261230469","347.5080261230469","347.5080261230469"
"110","345.7988586425781","345.7988586425781","345.7988586425781"
"111","346.66929626464844","346.66929626464844","346.66929626464844"
"112","345.4694519042969","345.4694519042969","345.4694519042969"
"113","345.68138885498047","345.68138885498047","345.68138885498047"
"114","347.963134765625","347.963134765625","347.963134765625"
"115","347.331600189209","347.331600189209","347.331600189209"
"116","346.2880744934082","346.2880744934082","346.2880744934082"
"117","347.19078063964844","347.19078063964844","347.19078063964844"
"118","347.49999618530273","347.49999618530273","347.49999618530273"
"119","348.6967658996582","348.6967658996582","348.6967658996582"
"120","347.9446792602539","347.9446792602539","347.9446792602539"
"121","350.028751373291","350.028751373291","350.028751373291"
"122","348.91701889038086","348.91701889038086","348.91701889038086"
"123","350.61427307128906","350.61427307128906","350.61427307128906"
"124","352.3677444458008","352.3677444458008","352.3677444458008"
"125","351.7974052429199","351.7974052429199","351.7974052429199"
"126","351.5588188171387","351.5588188171387","351.5588188171387"
"127","348.9072151184082","348.9072151184082","348.9072151184082"
"128","351.526912689209","351.526912689209","351.526912689209"
"130","351.80460357666016","351.80460357666016","351.80460357666016"
"131","351.68716049194336","351.68716049194336","351.68716049194336"
"132","351.5022659301758","351.5022659301758","351.5022659301758"
"133","353.8759574890137","353.8759574890137","353.8759574890137"
"134","352.60899353027344","352.60899353027344","352.60899353027344"
"135","353.26182556152344","353.26182556152344","353.26182556152344"
"136","353.2724838256836","353.2724838256836","353.2724838256836"
"137","353.47285079956055","353.47285079956055","353.47285079956055"
"138","355.57923126220703","355.57923126220703","355.57923126220703"
"139","352.40678787231445","352.40678787231445","352.40678787231445"
"140","353.8372459411621","353.8372459411621","353.8372459411621"
"141","355.0298194885254","355.0298194885254","355.0298194885254"
"142","355.3861656188965","355.3861656188965","355.3861656188965"
"143","354.6550941467285","354.6550941467285","354.6550941467285"
"144","354.1491355895996","354.1491355895996","354.1491355895996"
"145","356.4086380004883","356.4086380004883","356.4086380004883"
"146","355.66678619384766","355.66678619384766","355.66678619384766"
"147","355.44969177246094","355.44969177246094","355.44969177246094"
"148","356.4457702636719","356.4457702636719","356.4457702636719"
"149","357.4087104797363","357.4087104797363","357.4087104797363"
"150","357.7415351867676","357.7415351867676","357.7415351867676"
"151","358.2049560546875","358.2049560546875","358.2049560546875"
"152","359.3923149108887","359.3923149108887","359.3923149108887"
"153","358.6420364379883","358.6420364379883","358.6420364379883"
"154","359.2990913391113","359.2990913391113","359.2990913391113"
"156","358.74888610839844","358.74888610839844","358.74888610839844"
"157","359.42233657836914","359.42233657836914","359.42233657836914"
"158","358.41059494018555","358.41059494018555","358.41059494018555"
"159","358.24608612060547","358.24608612060547","358.24608612060547"
"160","359.39371490478516","359.39371490478516","359.39371490478516"
"161","359.6729965209961","359.6729965209961","359.6729965209961"
"162","360.6271095275879","360.6271095275879","360.6271095275879"
"163","360.76348876953125","360.76348876953125","360.76348876953125"
"164","360.6394462585449","360.6394462585449","360.6394462585449"
"165","362.42395782470703","362.42395782470703","362.42395782470703"
"166","362.390380859375","362.390380859375","362.390380859375"
"167","363.10454177856445","363.10454177856445","363.10454177856445"
"168","361.9376640319824","361.9376640319824","361.9376640319824"
"169","362.6992530822754","362.6992530822754","362.6992530822754"
"170","363.0262870788574","363.0262870788574","363.0262870788574"
