"Step","phase1-reasoning - val/mse","phase1-reasoning - val/mse__MIN","phase1-reasoning - val/mse__MAX"
"25","24.7839919090271","24.7839919090271","24.7839919090271"
"51","27.421691207885743","27.421691207885743","27.421691207885743"
"77","26.31183650970459","26.31183650970459","26.31183650970459"
"103","23.193815231323242","23.193815231323242","23.193815231323242"
"129","22.923368072509767","22.923368072509767","22.923368072509767"
"155","30.280240726470947","30.280240726470947","30.280240726470947"
"181","22.401817932128907","22.401817932128907","22.401817932128907"
"207","22.05336965560913","22.05336965560913","22.05336965560913"
"233","21.893324737548827","21.893324737548827","21.893324737548827"
"259","21.580016536712648","21.580016536712648","21.580016536712648"
"285","21.74994276046753","21.74994276046753","21.74994276046753"
"311","21.514190196990967","21.514190196990967","21.514190196990967"
"337","21.359017696380615","21.359017696380615","21.359017696380615"
"363","21.351966361999512","21.351966361999512","21.351966361999512"
