"Step","phase1-reasoning - val/kl","phase1-reasoning - val/kl__MIN","phase1-reasoning - val/kl__MAX"
"25","324.2763723754883","324.2763723754883","324.2763723754883"
"51","329.09144470214846","329.09144470214846","329.09144470214846"
"77","336.911741027832","336.911741027832","336.911741027832"
"103","343.3860888671875","343.3860888671875","343.3860888671875"
"129","351.50015411376955","351.50015411376955","351.50015411376955"
"155","358.5902081298828","358.5902081298828","358.5902081298828"
"181","364.79164733886716","364.79164733886716","364.79164733886716"
"207","372.5784246826172","372.5784246826172","372.5784246826172"
"233","379.3017953491211","379.3017953491211","379.3017953491211"
"259","386.2398272705078","386.2398272705078","386.2398272705078"
"285","392.1464831542969","392.1464831542969","392.1464831542969"
"311","399.27214599609374","399.27214599609374","399.27214599609374"
"337","406.15067199707033","406.15067199707033","406.15067199707033"
"363","411.2704699707031","411.2704699707031","411.2704699707031"
