"Step","phase1-reasoning - val/layers/l20_mse","phase1-reasoning - val/layers/l20_mse__MIN","phase1-reasoning - val/layers/l20_mse__MAX"
"25","8.389515109062195","8.389515109062195","8.389515109062195"
"51","10.663217043876648","10.663217043876648","10.663217043876648"
"77","9.94533173084259","9.94533173084259","9.94533173084259"
"103","7.427634482383728","7.427634482383728","7.427634482383728"
"129","7.270178289413452","7.270178289413452","7.270178289413452"
"155","13.59311101436615","13.59311101436615","13.59311101436615"
"181","7.025248808860779","7.025248808860779","7.025248808860779"
"207","6.858658175468445","6.858658175468445","6.858658175468445"
"233","6.8058566904068","6.8058566904068","6.8058566904068"
"259","6.726679601669312","6.726679601669312","6.726679601669312"
"285","6.764073929786682","6.764073929786682","6.764073929786682"
"311","6.767745473384857","6.767745473384857","6.767745473384857"
"337","6.730486879348755","6.730486879348755","6.730486879348755"
"363","6.692953441143036","6.692953441143036","6.692953441143036"
