"Step","phase1-reasoning - tech/beta","phase1-reasoning - tech/beta__MIN","phase1-reasoning - tech/beta__MAX"
"0","0.0000020000000000000003","0.0000020000000000000003","0.0000020000000000000003"
"1","0.000004000000000000001","0.000004000000000000001","0.000004000000000000001"
"2","0.000006","0.000006","0.000006"
"3","0.000008000000000000001","0.000008000000000000001","0.000008000000000000001"
"4","0.00001","0.00001","0.00001"
"5","0.000012","0.000012","0.000012"
"6","0.000014000000000000001","0.000014000000000000001","0.000014000000000000001"
"7","0.000016000000000000003","0.000016000000000000003","0.000016000000000000003"
"8","0.000018","0.000018","0.000018"
"9","0.00002","0.00002","0.00002"
"10","0.000022000000000000003","0.000022000000000000003","0.000022000000000000003"
"11","0.000024","0.000024","0.000024"
"12","0.000026000000000000002","0.000026000000000000002","0.000026000000000000002"
"13","0.000028000000000000003","0.000028000000000000003","0.000028000000000000003"
"14","0.00003","0.00003","0.00003"
"15","0.000032000000000000005","0.000032000000000000005","0.000032000000000000005"
"16","0.000034000000000000007","0.000034000000000000007","0.000034000000000000007"
"17","0.000036","0.000036","0.000036"
"18","0.000038","0.000038","0.000038"
"19","0.00004","0.00004","0.00004"
"20","0.000042","0.000042","0.000042"
"21","0.000044000000000000006","0.000044000000000000006","0.000044000000000000006"
"22","0.00004600000000000001","0.00004600000000000001","0.00004600000000000001"
"23","0.000048","0.000048","0.000048"
"24","0.00005","0.00005","0.00005"
"26","0.000052000000000000004","0.000052000000000000004","0.000052000000000000004"
"27","0.000054000000000000005","0.000054000000000000005","0.000054000000000000005"
"28","0.000056000000000000006","0.000056000000000000006","0.000056000000000000006"
"29","0.000058","0.000058","0.000058"
"30","0.00006","0.00006","0.00006"
"31","0.000062","0.000062","0.000062"
"32","0.00006400000000000001","0.00006400000000000001","0.00006400000000000001"
"33","0.000066","0.000066","0.000066"
"34","0.00006800000000000001","0.00006800000000000001","0.00006800000000000001"
"35","0.00007","0.00007","0.00007"
"36","0.000072","0.000072","0.000072"
"37","0.000074","0.000074","0.000074"
"38","0.000076","0.000076","0.000076"
"39","0.00007800000000000001","0.00007800000000000001","0.00007800000000000001"
"40","0.00008","0.00008","0.00008"
"41","0.000082","0.000082","0.000082"
"42","0.000084","0.000084","0.000084"
"43","0.000086","0.000086","0.000086"
"44","0.00008800000000000001","0.00008800000000000001","0.00008800000000000001"
"45","0.00009","0.00009","0.00009"
"46","0.00009200000000000001","0.00009200000000000001","0.00009200000000000001"
"47","0.000094","0.000094","0.000094"
"48","0.000096","0.000096","0.000096"
"49","0.000098","0.000098","0.000098"
"50","0.0001","0.0001","0.0001"
"52","0.0001","0.0001","0.0001"
"53","0.0001","0.0001","0.0001"
"54","0.0001","0.0001","0.0001"
"55","0.0001","0.0001","0.0001"
"56","0.0001","0.0001","0.0001"
"57","0.0001","0.0001","0.0001"
"58","0.0001","0.0001","0.0001"
"59","0.0001","0.0001","0.0001"
"60","0.0001","0.0001","0.0001"
"61","0.0001","0.0001","0.0001"
"62","0.0001","0.0001","0.0001"
"63","0.0001","0.0001","0.0001"
"64","0.0001","0.0001","0.0001"
"65","0.0001","0.0001","0.0001"
"66","0.0001","0.0001","0.0001"
"67","0.0001","0.0001","0.0001"
"68","0.0001","0.0001","0.0001"
"69","0.0001","0.0001","0.0001"
"70","0.0001","0.0001","0.0001"
"71","0.0001","0.0001","0.0001"
"72","0.0001","0.0001","0.0001"
"73","0.0001","0.0001","0.0001"
"74","0.0001","0.0001","0.0001"
"75","0.0001","0.0001","0.0001"
"76","0.0001","0.0001","0.0001"
"78","0.0001","0.0001","0.0001"
"79","0.0001","0.0001","0.0001"
"80","0.0001","0.0001","0.0001"
"81","0.0001","0.0001","0.0001"
"82","0.0001","0.0001","0.0001"
"83","0.0001","0.0001","0.0001"
"84","0.0001","0.0001","0.0001"
"85","0.0001","0.0001","0.0001"
"86","0.0001","0.0001","0.0001"
"87","0.0001","0.0001","0.0001"
"88","0.0001","0.0001","0.0001"
"89","0.0001","0.0001","0.0001"
"90","0.0001","0.0001","0.0001"
"91","0.0001","0.0001","0.0001"
"92","0.0001","0.0001","0.0001"
"93","0.0001","0.0001","0.0001"
"94","0.0001","0.0001","0.0001"
"95","0.0001","0.0001","0.0001"
