"Step","phase1-reasoning - train/layers/l20_mse","phase1-reasoning - train/layers/l20_mse__MIN","phase1-reasoning - train/layers/l20_mse__MAX"
"0","6.663901507854462","6.663901507854462","6.663901507854462"
"1","6.25117301940918","6.25117301940918","6.25117301940918"
"2","6.88298887014389","6.88298887014389","6.88298887014389"
"3","6.479025334119797","6.479025334119797","6.479025334119797"
"4","6.6653817892074585","6.6653817892074585","6.6653817892074585"
"5","6.097813367843628","6.097813367843628","6.097813367843628"
"6","7.420415580272675","7.420415580272675","7.420415580272675"
"7","6.501264333724976","6.501264333724976","6.501264333724976"
"8","6.706403911113739","6.706403911113739","6.706403911113739"
"9","6.636827707290649","6.636827707290649","6.636827707290649"
"10","7.17619925737381","7.17619925737381","7.17619925737381"
"11","6.570167362689972","6.570167362689972","6.570167362689972"
"12","6.961611032485962","6.961611032485962","6.961611032485962"
"13","6.8104623556137085","6.8104623556137085","6.8104623556137085"
"14","6.822293639183044","6.822293639183044","6.822293639183044"
"15","6.47603976726532","6.47603976726532","6.47603976726532"
"16","6.899639368057251","6.899639368057251","6.899639368057251"
"18","6.525390565395355","6.525390565395355","6.525390565395355"
"19","6.872837841510773","6.872837841510773","6.872837841510773"
"20","6.344620108604431","6.344620108604431","6.344620108604431"
"21","6.861444175243378","6.861444175243378","6.861444175243378"
"22","6.605606973171234","6.605606973171234","6.605606973171234"
"23","6.731602668762207","6.731602668762207","6.731602668762207"
"24","6.5957213044166565","6.5957213044166565","6.5957213044166565"
"25","5.862804412841797","5.862804412841797","5.862804412841797"
"26","6.578679263591766","6.578679263591766","6.578679263591766"
"27","6.914557099342346","6.914557099342346","6.914557099342346"
"28","6.254164487123489","6.254164487123489","6.254164487123489"
"29","6.1447232365608215","6.1447232365608215","6.1447232365608215"
"30","6.4297842383384705","6.4297842383384705","6.4297842383384705"
"31","6.148689925670624","6.148689925670624","6.148689925670624"
"32","6.542208909988403","6.542208909988403","6.542208909988403"
"33","6.598396718502045","6.598396718502045","6.598396718502045"
"34","6.903901815414429","6.903901815414429","6.903901815414429"
"35","6.646852374076843","6.646852374076843","6.646852374076843"
"36","6.1548837423324585","6.1548837423324585","6.1548837423324585"
"37","6.492327094078064","6.492327094078064","6.492327094078064"
"38","6.455165684223175","6.455165684223175","6.455165684223175"
"39","6.70343554019928","6.70343554019928","6.70343554019928"
"40","6.775617301464081","6.775617301464081","6.775617301464081"
"41","6.347870826721191","6.347870826721191","6.347870826721191"
"42","6.761247038841248","6.761247038841248","6.761247038841248"
"44","6.35881495475769","6.35881495475769","6.35881495475769"
"45","6.673924207687378","6.673924207687378","6.673924207687378"
"46","6.153365790843964","6.153365790843964","6.153365790843964"
"47","6.561421811580658","6.561421811580658","6.561421811580658"
"48","6.7541415095329285","6.7541415095329285","6.7541415095329285"
"49","6.587868928909302","6.587868928909302","6.587868928909302"
"50","6.3702642023563385","6.3702642023563385","6.3702642023563385"
"51","6.231342911720276","6.231342911720276","6.231342911720276"
"52","6.649371385574341","6.649371385574341","6.649371385574341"
"53","5.813896596431732","5.813896596431732","5.813896596431732"
"54","6.295010626316071","6.295010626316071","6.295010626316071"
"55","6.467504858970642","6.467504858970642","6.467504858970642"
"56","6.508815705776215","6.508815705776215","6.508815705776215"
"57","6.24729460477829","6.24729460477829","6.24729460477829"
"58","6.834897398948669","6.834897398948669","6.834897398948669"
"59","6.769368410110474","6.769368410110474","6.769368410110474"
"60","10.18305242061615","10.18305242061615","10.18305242061615"
"61","6.5248812437057495","6.5248812437057495","6.5248812437057495"
"62","6.736922979354858","6.736922979354858","6.736922979354858"
"63","6.17846953868866","6.17846953868866","6.17846953868866"
"64","7.410305082798004","7.410305082798004","7.410305082798004"
"65","6.123690962791443","6.123690962791443","6.123690962791443"
"66","6.1646130084991455","6.1646130084991455","6.1646130084991455"
"67","6.407775580883026","6.407775580883026","6.407775580883026"
"68","6.349363327026367","6.349363327026367","6.349363327026367"
"70","6.405069977045059","6.405069977045059","6.405069977045059"
"71","6.300951838493347","6.300951838493347","6.300951838493347"
"72","6.5464940667152405","6.5464940667152405","6.5464940667152405"
"73","5.937764942646027","5.937764942646027","5.937764942646027"
"74","6.208778083324432","6.208778083324432","6.208778083324432"
"75","7.056834876537323","7.056834876537323","7.056834876537323"
"76","6.830981373786926","6.830981373786926","6.830981373786926"
"77","6.2523327469825745","6.2523327469825745","6.2523327469825745"
"78","6.612665057182312","6.612665057182312","6.612665057182312"
"79","6.773245692253113","6.773245692253113","6.773245692253113"
"80","6.958167493343353","6.958167493343353","6.958167493343353"
"81","6.3599366545677185","6.3599366545677185","6.3599366545677185"
"82","7.31005334854126","7.31005334854126","7.31005334854126"
"83","6.507052838802338","6.507052838802338","6.507052838802338"
"84","6.7881187200546265","6.7881187200546265","6.7881187200546265"
"85","6.236909836530685","6.236909836530685","6.236909836530685"
"86","6.078010559082031","6.078010559082031","6.078010559082031"
"87","6.774995446205139","6.774995446205139","6.774995446205139"
"88","6.089203178882599","6.089203178882599","6.089203178882599"
"89","6.6063119769096375","6.6063119769096375","6.6063119769096375"
"90","6.378262460231781","6.378262460231781","6.378262460231781"
"91","11.266817450523376","11.266817450523376","11.266817450523376"
