"Step","phase1-reasoning - tech/scaler","phase1-reasoning - tech/scaler__MIN","phase1-reasoning - tech/scaler__MAX"
"0","65536","65536","65536"
"1","32768","32768","32768"
"2","16384","16384","16384"
"3","16384","16384","16384"
"4","8192","8192","8192"
"5","8192","8192","8192"
"6","8192","8192","8192"
"7","8192","8192","8192"
"8","8192","8192","8192"
"9","8192","8192","8192"
"10","8192","8192","8192"
"11","8192","8192","8192"
"12","8192","8192","8192"
"13","8192","8192","8192"
"14","8192","8192","8192"
"15","8192","8192","8192"
"16","8192","8192","8192"
"17","8192","8192","8192"
"18","8192","8192","8192"
"19","8192","8192","8192"
"20","8192","8192","8192"
"21","4096","4096","4096"
"22","2048","2048","2048"
"23","2048","2048","2048"
"24","2048","2048","2048"
"26","2048","2048","2048"
"27","2048","2048","2048"
"28","2048","2048","2048"
"29","2048","2048","2048"
"30","2048","2048","2048"
"31","2048","2048","2048"
"32","2048","2048","2048"
"33","2048","2048","2048"
"34","2048","2048","2048"
"35","2048","2048","2048"
"36","2048","2048","2048"
"37","2048","2048","2048"
"38","2048","2048","2048"
"39","2048","2048","2048"
"40","2048","2048","2048"
"41","2048","2048","2048"
"42","2048","2048","2048"
"43","2048","2048","2048"
"44","2048","2048","2048"
"45","2048","2048","2048"
"46","2048","2048","2048"
"47","2048","2048","2048"
"48","2048","2048","2048"
"49","2048","2048","2048"
"50","2048","2048","2048"
"52","2048","2048","2048"
"53","2048","2048","2048"
"54","2048","2048","2048"
"55","2048","2048","2048"
"56","2048","2048","2048"
"57","2048","2048","2048"
"58","2048","2048","2048"
"59","2048","2048","2048"
"60","2048","2048","2048"
"61","2048","2048","2048"
"62","2048","2048","2048"
"63","2048","2048","2048"
"64","2048","2048","2048"
"65","2048","2048","2048"
"66","2048","2048","2048"
"67","2048","2048","2048"
"68","2048","2048","2048"
"69","2048","2048","2048"
"70","2048","2048","2048"
"71","2048","2048","2048"
"72","2048","2048","2048"
"73","2048","2048","2048"
"74","2048","2048","2048"
"75","2048","2048","2048"
"76","2048","2048","2048"
"78","2048","2048","2048"
"79","2048","2048","2048"
"80","2048","2048","2048"
"81","2048","2048","2048"
"82","2048","2048","2048"
"83","2048","2048","2048"
"84","2048","2048","2048"
"85","2048","2048","2048"
"86","2048","2048","2048"
"87","2048","2048","2048"
"88","2048","2048","2048"
"89","2048","2048","2048"
"90","2048","2048","2048"
"91","2048","2048","2048"
"92","2048","2048","2048"
"93","2048","2048","2048"
"94","2048","2048","2048"
"95","2048","2048","2048"
"96","2048","2048","2048"
"97","2048","2048","2048"
"98","2048","2048","2048"
"99","2048","2048","2048"
"100","2048","2048","2048"
"101","2048","2048","2048"
"102","2048","2048","2048"
"104","2048","2048","2048"
"105","2048","2048","2048"
"106","2048","2048","2048"
"107","2048","2048","2048"
"108","2048","2048","2048"
"109","2048","2048","2048"
"110","2048","2048","2048"
"111","2048","2048","2048"
"112","2048","2048","2048"
"113","2048","2048","2048"
"114","2048","2048","2048"
"115","2048","2048","2048"
"116","2048","2048","2048"
"117","2048","2048","2048"
"118","2048","2048","2048"
"119","2048","2048","2048"
"120","2048","2048","2048"
"121","2048","2048","2048"
"122","2048","2048","2048"
"123","2048","2048","2048"
"124","2048","2048","2048"
"125","2048","2048","2048"
"126","2048","2048","2048"
"127","2048","2048","2048"
"128","2048","2048","2048"
"130","2048","2048","2048"
"131","2048","2048","2048"
"132","2048","2048","2048"
"133","2048","2048","2048"
"134","2048","2048","2048"
"135","2048","2048","2048"
"136","2048","2048","2048"
"137","2048","2048","2048"
"138","2048","2048","2048"
"139","2048","2048","2048"
"140","2048","2048","2048"
"141","2048","2048","2048"
"142","2048","2048","2048"
"143","2048","2048","2048"
"144","2048","2048","2048"
"145","2048","2048","2048"
"146","2048","2048","2048"
"147","2048","2048","2048"
"148","2048","2048","2048"
"149","2048","2048","2048"
"150","2048","2048","2048"
"151","2048","2048","2048"
"152","2048","2048","2048"
"153","2048","2048","2048"
"154","2048","2048","2048"
"156","2048","2048","2048"
"157","2048","2048","2048"
"158","2048","2048","2048"
"159","2048","2048","2048"
"160","2048","2048","2048"
"161","2048","2048","2048"
