"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"20","644245094400","644245094400","644245094400"
"40","138512695296","138512695296","138512695296"
"60","83214991360","83214991360","83214991360"
"80","24830279680","24830279680","24830279680"
"100","10536091648","10536091648","10536091648"
"120","5670699008","5670699008","5670699008"
"140","23353884672","23353884672","23353884672"
"160","1317011456","1317011456","1317011456"
"180","880803840","880803840","880803840"
"200","675282944","675282944","675282944"
"220","2684354560","2684354560","2684354560"
"240","1879048192","1879048192","1879048192"
"260","76546048","76546048","76546048"
"280","417333248","417333248","417333248"
"300","276824064","276824064","276824064"
"320","89653248","89653248","89653248"
"340","73400320","73400320","73400320"
"360","52166656","52166656","52166656"
"380","130023424","130023424","130023424"
"400","144703488","144703488","144703488"
"420","185597952","185597952","185597952"
"440","176160768","176160768","176160768"
"460","929792","929792","929792"
"480","8355840","8355840","8355840"
"500","7405568","7405568","7405568"
