"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"20","700","700","700"
"40","27.375","27.375","27.375"
"60","26.875","26.875","26.875"
"80","28.625","28.625","28.625"
"100","23.25","23.25","23.25"
"120","17.75","17.75","17.75"
"140","15.3125","15.3125","15.3125"
"160","24.125","24.125","24.125"
"180","47.25","47.25","47.25"
"200","15.25","15.25","15.25"
"220","14","14","14"
"240","10.375","10.375","10.375"
"260","8.25","8.25","8.25"
"280","8.0625","8.0625","8.0625"
"300","13.875","13.875","13.875"
"320","7.8125","7.8125","7.8125"
"340","4.1875","4.1875","4.1875"
"360","6.21875","6.21875","6.21875"
"380","4.40625","4.40625","4.40625"
"400","7.3125","7.3125","7.3125"
"420","6.125","6.125","6.125"
"440","3.78125","3.78125","3.78125"
"460","3.640625","3.640625","3.640625"
"480","4.3125","4.3125","4.3125"
"500","3.71875","3.71875","3.71875"
"520","9.75","9.75","9.75"
"540","3.671875","3.671875","3.671875"
"560","4.75","4.75","4.75"
"580","1.75","1.75","1.75"
"600","2.28125","2.28125","2.28125"
"620","1.9140625","1.9140625","1.9140625"
"640","9.375","9.375","9.375"
"660","1.828125","1.828125","1.828125"
"680","2.75","2.75","2.75"
"700","6.1875","6.1875","6.1875"
"720","8.5","8.5","8.5"
"740","3.546875","3.546875","3.546875"
"760","1.9453125","1.9453125","1.9453125"
"780","2.703125","2.703125","2.703125"
"800","2.5625","2.5625","2.5625"
"820","1.875","1.875","1.875"
"840","4.3125","4.3125","4.3125"
"860","2.390625","2.390625","2.390625"
"880","3.625","3.625","3.625"
"900","4.875","4.875","4.875"
"920","3.78125","3.78125","3.78125"
"940","3.1875","3.1875","3.1875"
"960","1.125","1.125","1.125"
"980","1.4765625","1.4765625","1.4765625"
"1000","3.84375","3.84375","3.84375"
"1020","0.9765625","0.9765625","0.9765625"
"1040","0.90234375","0.90234375","0.90234375"
"1060","0.890625","0.890625","0.890625"
"1080","0.8828125","0.8828125","0.8828125"
"1100","0.84765625","0.84765625","0.84765625"
"1120","1.390625","1.390625","1.390625"
"1140","1.0625","1.0625","1.0625"
"1160","0.8359375","0.8359375","0.8359375"
"1180","0.84375","0.84375","0.84375"
"1200","0.796875","0.796875","0.796875"
"1220","0.8046875","0.8046875","0.8046875"
"1240","0.8828125","0.8828125","0.8828125"
"1260","0.7734375","0.7734375","0.7734375"
"1280","0.890625","0.890625","0.890625"
"1300","0.76953125","0.76953125","0.76953125"
"1320","0.9453125","0.9453125","0.9453125"
"1340","0.8359375","0.8359375","0.8359375"
"1360","0.875","0.875","0.875"
"1380","0.80859375","0.80859375","0.80859375"
"1400","0.8515625","0.8515625","0.8515625"
"1420","0.890625","0.890625","0.890625"
"1440","0.921875","0.921875","0.921875"
"1460","0.8671875","0.8671875","0.8671875"
"1480","0.796875","0.796875","0.796875"
"1500","0.77734375","0.77734375","0.77734375"
"1520","0.8515625","0.8515625","0.8515625"
"1540","0.76953125","0.76953125","0.76953125"
"1560","0.8125","0.8125","0.8125"
"1580","0.9765625","0.9765625","0.9765625"
"1600","0.76171875","0.76171875","0.76171875"
"1620","0.7734375","0.7734375","0.7734375"
"1640","0.8046875","0.8046875","0.8046875"
"1660","0.875","0.875","0.875"
"1680","0.7890625","0.7890625","0.7890625"
"1700","0.83203125","0.83203125","0.83203125"
"1720","0.7734375","0.7734375","0.7734375"
"1740","0.8125","0.8125","0.8125"
"1760","0.75","0.75","0.75"
"1780","0.9765625","0.9765625","0.9765625"
"1800","0.796875","0.796875","0.796875"
"1820","0.859375","0.859375","0.859375"
"1840","0.90625","0.90625","0.90625"
"1860","0.90234375","0.90234375","0.90234375"
"1880","0.765625","0.765625","0.765625"
"1900","0.77734375","0.77734375","0.77734375"
"1920","0.89453125","0.89453125","0.89453125"
"1940","0.98046875","0.98046875","0.98046875"
"1960","0.828125","0.828125","0.828125"
"1980","0.7890625","0.7890625","0.7890625"
"2000","0.96484375","0.96484375","0.96484375"
"2020","0.76953125","0.76953125","0.76953125"
"2040","0.7734375","0.7734375","0.7734375"
"2060","0.8046875","0.8046875","0.8046875"
"2080","0.94140625","0.94140625","0.94140625"
"2100","0.78125","0.78125","0.78125"
"2120","0.84375","0.84375","0.84375"
"2140","1.03125","1.03125","1.03125"
"2160","0.8984375","0.8984375","0.8984375"
"2180","1.1015625","1.1015625","1.1015625"
"2200","1.421875","1.421875","1.421875"
"2220","1.7578125","1.7578125","1.7578125"
"2240","1.015625","1.015625","1.015625"
"2260","1.2734375","1.2734375","1.2734375"
"2280","1.265625","1.265625","1.265625"
"2300","0.74609375","0.74609375","0.74609375"
"2320","1.0546875","1.0546875","1.0546875"
"2340","0.703125","0.703125","0.703125"
"2360","1.59375","1.59375","1.59375"
"2380","0.953125","0.953125","0.953125"
"2400","0.91796875","0.91796875","0.91796875"
"2420","1.0234375","1.0234375","1.0234375"
"2440","0.8125","0.8125","0.8125"
"2460","1.078125","1.078125","1.078125"
"2480","0.765625","0.765625","0.765625"
"2500","1.4140625","1.4140625","1.4140625"
"2520","0.74609375","0.74609375","0.74609375"
"2540","0.7265625","0.7265625","0.7265625"
"2560","0.85546875","0.85546875","0.85546875"
"2580","0.71875","0.71875","0.71875"
"2600","0.75","0.75","0.75"
"2620","0.734375","0.734375","0.734375"
"2640","0.6796875","0.6796875","0.6796875"
"2660","0.71875","0.71875","0.71875"
"2680","0.625","0.625","0.625"
"2700","0.6796875","0.6796875","0.6796875"
"2720","0.58203125","0.58203125","0.58203125"
"2740","0.75","0.75","0.75"
