"Step","tpu-v4-spmd-resumed-18000 - train/loss","tpu-v4-spmd-resumed-18000 - train/loss__MIN","tpu-v4-spmd-resumed-18000 - train/loss__MAX"
"18020","16.625","16.625","16.625"
"18040","18.25","18.25","18.25"
"18060","15.625","15.625","15.625"
"18080","14.875","14.875","14.875"
"18100","16","16","16"
"18120","13.5","13.5","13.5"
"18140","13.875","13.875","13.875"
"18160","15.625","15.625","15.625"
"18180","19.5","19.5","19.5"
"18200","15.1875","15.1875","15.1875"
"18220","14.375","14.375","14.375"
"18240","13.25","13.25","13.25"
"18260","13.625","13.625","13.625"
"18280","13.5","13.5","13.5"
"18300","12.1875","12.1875","12.1875"
"18320","13.75","13.75","13.75"
"18340","13.5625","13.5625","13.5625"
"18360","12.8125","12.8125","12.8125"
"18380","16.125","16.125","16.125"
"18400","15.625","15.625","15.625"
"18420","12.8125","12.8125","12.8125"
"18440","12.25","12.25","12.25"
"18460","13.75","13.75","13.75"
"18480","11.6875","11.6875","11.6875"
"18500","12.9375","12.9375","12.9375"
"18520","13.0625","13.0625","13.0625"
"18540","17.5","17.5","17.5"
"18560","17.75","17.75","17.75"
"18580","17.125","17.125","17.125"
"18600","13","13","13"
"18620","18.75","18.75","18.75"
"18640","12.1875","12.1875","12.1875"
"18660","16.75","16.75","16.75"
"18680","14.5","14.5","14.5"
"18700","13.25","13.25","13.25"
"18720","16","16","16"
"18740","12","12","12"
"18760","10.4375","10.4375","10.4375"
"18780","13.625","13.625","13.625"
"18800","11.125","11.125","11.125"
"18820","14","14","14"
"18840","10","10","10"
"18860","13.25","13.25","13.25"
"18880","11.6875","11.6875","11.6875"
"18900","11","11","11"
"18920","11.6875","11.6875","11.6875"
"18940","12.75","12.75","12.75"
"18960","10.875","10.875","10.875"
"18980","12.25","12.25","12.25"
"19000","11.625","11.625","11.625"
"19020","10.625","10.625","10.625"
"19040","10.6875","10.6875","10.6875"
"19060","11.1875","11.1875","11.1875"
"19080","10.1875","10.1875","10.1875"
"19100","13.75","13.75","13.75"
"19120","11.1875","11.1875","11.1875"
"19140","13.5","13.5","13.5"
"19160","21.625","21.625","21.625"
"19180","10.4375","10.4375","10.4375"
"19200","10.125","10.125","10.125"
"19220","13.375","13.375","13.375"
"19240","11.75","11.75","11.75"
"19260","12.375","12.375","12.375"
"19280","9.75","9.75","9.75"
"19300","13","13","13"
"19320","12.625","12.625","12.625"
"19340","9.25","9.25","9.25"
"19360","12.4375","12.4375","12.4375"
"19380","13.75","13.75","13.75"
"19400","10.75","10.75","10.75"
"19420","10.3125","10.3125","10.3125"
"19440","9.875","9.875","9.875"
"19460","10.6875","10.6875","10.6875"
"19480","10.875","10.875","10.875"
"19500","10.3125","10.3125","10.3125"
"19520","12.5","12.5","12.5"
"19540","10.0625","10.0625","10.0625"
"19560","10.5","10.5","10.5"
"19580","11.375","11.375","11.375"
"19600","12.3125","12.3125","12.3125"
"19620","9.875","9.875","9.875"
"19640","12.25","12.25","12.25"
"19660","10.375","10.375","10.375"
"19680","11.3125","11.3125","11.3125"
"19700","10.375","10.375","10.375"
"19720","11.875","11.875","11.875"
"19740","10.125","10.125","10.125"
"19760","12.75","12.75","12.75"
"19780","13.0625","13.0625","13.0625"
"19800","9.8125","9.8125","9.8125"
"19820","12.625","12.625","12.625"
"19840","10.625","10.625","10.625"
"19860","10.5","10.5","10.5"
"19880","11.5","11.5","11.5"
"19900","16.5","16.5","16.5"
"19920","10.375","10.375","10.375"
"19940","12","12","12"
"19960","13.75","13.75","13.75"
"19980","11.625","11.625","11.625"
"20000","11.75","11.75","11.75"
"20020","12.4375","12.4375","12.4375"
"20040","14.25","14.25","14.25"
"20060","11.125","11.125","11.125"
"20080","11.625","11.625","11.625"
"20100","12.875","12.875","12.875"
"20120","14.125","14.125","14.125"
"20140","11.0625","11.0625","11.0625"
"20160","13.875","13.875","13.875"
"20180","12.375","12.375","12.375"
"20200","11.9375","11.9375","11.9375"
"20220","15","15","15"
"20240","13.0625","13.0625","13.0625"
"20260","12.875","12.875","12.875"
"20280","11.3125","11.3125","11.3125"
"20300","10","10","10"
"20320","11.375","11.375","11.375"
"20340","21.875","21.875","21.875"
"20360","13","13","13"
"20380","13.3125","13.3125","13.3125"
"20400","12.25","12.25","12.25"
"20420","12.3125","12.3125","12.3125"
"20440","22.5","22.5","22.5"
"20460","10.875","10.875","10.875"
"20480","10.1875","10.1875","10.1875"
"20500","10.0625","10.0625","10.0625"
"20520","11.0625","11.0625","11.0625"
"20540","14","14","14"
"20560","9.625","9.625","9.625"
"20580","14.1875","14.1875","14.1875"
"20600","13.0625","13.0625","13.0625"
"20620","15.875","15.875","15.875"
"20640","9.5625","9.5625","9.5625"
"20660","9.8125","9.8125","9.8125"
"20680","11.75","11.75","11.75"
"20700","9.3125","9.3125","9.3125"
"20720","10","10","10"
"20740","12","12","12"
"20760","9","9","9"
"20780","10.875","10.875","10.875"
"20800","8.75","8.75","8.75"
"20820","10","10","10"
"20840","9.75","9.75","9.75"
"20860","9.375","9.375","9.375"
"20880","9.6875","9.6875","9.6875"
"20900","10.625","10.625","10.625"
"20920","9.625","9.625","9.625"
"20940","8.625","8.625","8.625"
"20960","10.125","10.125","10.125"
"20980","10.1875","10.1875","10.1875"
"21000","9.125","9.125","9.125"
"21020","11.25","11.25","11.25"
"21040","10.125","10.125","10.125"
"21060","8.4375","8.4375","8.4375"
"21080","13.5","13.5","13.5"
"21100","9.875","9.875","9.875"
"21120","9.125","9.125","9.125"
"21140","12.0625","12.0625","12.0625"
"21160","9.0625","9.0625","9.0625"
"21180","9.375","9.375","9.375"
"21200","10.9375","10.9375","10.9375"
"21220","10.25","10.25","10.25"
"21240","9.5625","9.5625","9.5625"
"21260","8.5625","8.5625","8.5625"
"21280","11.1875","11.1875","11.1875"
"21300","9.5","9.5","9.5"
"21320","8.875","8.875","8.875"
"21340","10.125","10.125","10.125"
"21360","14.0625","14.0625","14.0625"
"21380","10.0625","10.0625","10.0625"
"21400","10.625","10.625","10.625"
"21420","9.25","9.25","9.25"
"21440","7.96875","7.96875","7.96875"
"21460","10.25","10.25","10.25"
"21480","9.9375","9.9375","9.9375"
"21500","9.375","9.375","9.375"
"21520","9.375","9.375","9.375"
"21540","9.1875","9.1875","9.1875"
"21560","10.625","10.625","10.625"
"21580","18.5","18.5","18.5"
"21600","9.1875","9.1875","9.1875"
"21620","9.1875","9.1875","9.1875"
"21640","9","9","9"
"21660","9.8125","9.8125","9.8125"
"21680","11.375","11.375","11.375"
"21700","7.65625","7.65625","7.65625"
"21720","12.125","12.125","12.125"
"21740","9.625","9.625","9.625"
"21760","8.75","8.75","8.75"
"21780","9.25","9.25","9.25"
"21800","9.875","9.875","9.875"
"21820","8.375","8.375","8.375"
"21840","11.75","11.75","11.75"
"21860","9.1875","9.1875","9.1875"
"21880","9.3125","9.3125","9.3125"
"21900","9.75","9.75","9.75"
"21920","9.125","9.125","9.125"
"21940","10.5625","10.5625","10.5625"
"21960","8.875","8.875","8.875"
"21980","10.875","10.875","10.875"
"22000","9","9","9"
"22020","10.375","10.375","10.375"
"22040","14.125","14.125","14.125"
"22060","10.5625","10.5625","10.5625"
"22080","10.375","10.375","10.375"
"22100","8.375","8.375","8.375"
"22120","10.125","10.125","10.125"
"22140","12.3125","12.3125","12.3125"
"22160","9.9375","9.9375","9.9375"
"22180","10","10","10"
"22200","13.125","13.125","13.125"
"22220","10.1875","10.1875","10.1875"
"22240","13.1875","13.1875","13.1875"
"22260","9","9","9"
"22280","10","10","10"
"22300","9.375","9.375","9.375"
"22320","9","9","9"
"22340","11.3125","11.3125","11.3125"
"22360","10.9375","10.9375","10.9375"
"22380","9.5","9.5","9.5"
"22400","8.625","8.625","8.625"
"22420","11.25","11.25","11.25"
"22440","9.25","9.25","9.25"
"22460","10.3125","10.3125","10.3125"
"22480","8.875","8.875","8.875"
"22500","11.375","11.375","11.375"
"22520","10","10","10"
"22540","11.625","11.625","11.625"
"22560","10.125","10.125","10.125"
"22580","17.5","17.5","17.5"
"22600","7.96875","7.96875","7.96875"
"22620","10.875","10.875","10.875"
"22640","9","9","9"
"22660","14","14","14"
"22680","7.65625","7.65625","7.65625"
"22700","8.4375","8.4375","8.4375"
"22720","9.5","9.5","9.5"
"22740","8.875","8.875","8.875"
"22760","10.1875","10.1875","10.1875"
"22780","12.6875","12.6875","12.6875"
"22800","10.3125","10.3125","10.3125"
"22820","8.375","8.375","8.375"
"22840","7.625","7.625","7.625"
"22860","7.65625","7.65625","7.65625"
"22880","9.375","9.375","9.375"
"22900","11.3125","11.3125","11.3125"
"22920","12.375","12.375","12.375"
"22940","8.6875","8.6875","8.6875"
"22960","9.375","9.375","9.375"
"22980","7.90625","7.90625","7.90625"
"23000","8.1875","8.1875","8.1875"
"23020","8.875","8.875","8.875"
"23040","12.25","12.25","12.25"
"23060","11.0625","11.0625","11.0625"
"23080","13.75","13.75","13.75"
"23100","9.1875","9.1875","9.1875"
"23120","8.25","8.25","8.25"
"23140","12.3125","12.3125","12.3125"
"23160","9.75","9.75","9.75"
"23180","8.0625","8.0625","8.0625"
"23200","9.5","9.5","9.5"
"23220","8.625","8.625","8.625"
"23240","9.375","9.375","9.375"
"23260","7.5","7.5","7.5"
"23280","8.5","8.5","8.5"
"23300","8.875","8.875","8.875"
"23320","10.375","10.375","10.375"
"23340","9.1875","9.1875","9.1875"
"23360","8.625","8.625","8.625"
"23380","10.625","10.625","10.625"
"23400","9.9375","9.9375","9.9375"
"23420","8.3125","8.3125","8.3125"
"23440","8","8","8"
"23460","10.4375","10.4375","10.4375"
"23480","7.34375","7.34375","7.34375"
"23500","8.875","8.875","8.875"
"23520","13.5","13.5","13.5"
"23540","8.5","8.5","8.5"
"23560","8.25","8.25","8.25"
"23580","7.84375","7.84375","7.84375"
"23600","8.3125","8.3125","8.3125"
"23620","7.90625","7.90625","7.90625"
"23640","12","12","12"
"23660","7.96875","7.96875","7.96875"
"23680","12.125","12.125","12.125"
"23700","8.6875","8.6875","8.6875"
"23720","8.3125","8.3125","8.3125"
"23740","8.9375","8.9375","8.9375"
"23760","7.84375","7.84375","7.84375"
"23780","7.40625","7.40625","7.40625"
"23800","8.8125","8.8125","8.8125"
"23820","9.75","9.75","9.75"
"23840","8.125","8.125","8.125"
"23860","7.84375","7.84375","7.84375"
"23880","7.9375","7.9375","7.9375"
"23900","7.40625","7.40625","7.40625"
"23920","10.875","10.875","10.875"
"23940","7.9375","7.9375","7.9375"
"23960","8.75","8.75","8.75"
"23980","8.3125","8.3125","8.3125"
"24000","7.625","7.625","7.625"
"24020","8.1875","8.1875","8.1875"
"24040","8.125","8.125","8.125"
"24060","10.125","10.125","10.125"
"24080","10.125","10.125","10.125"
"24100","9.3125","9.3125","9.3125"
"24120","19.125","19.125","19.125"
"24140","8.125","8.125","8.125"
"24160","8.9375","8.9375","8.9375"
"24180","8.3125","8.3125","8.3125"
"24200","12","12","12"
"24220","12.75","12.75","12.75"
"24240","11.75","11.75","11.75"
"24260","9.375","9.375","9.375"
"24280","15.25","15.25","15.25"
"24300","14.3125","14.3125","14.3125"
"24320","12.5","12.5","12.5"
"24340","9.5","9.5","9.5"
"24360","8.125","8.125","8.125"
"24380","12","12","12"
"24400","9.9375","9.9375","9.9375"
"24420","9.6875","9.6875","9.6875"
"24440","8.8125","8.8125","8.8125"
"24460","8.125","8.125","8.125"
"24480","14.4375","14.4375","14.4375"
"24500","10.3125","10.3125","10.3125"
"24520","9.875","9.875","9.875"
"24540","8.5625","8.5625","8.5625"
"24560","9.9375","9.9375","9.9375"
"24580","8.3125","8.3125","8.3125"
"24600","8.1875","8.1875","8.1875"
"24620","10.4375","10.4375","10.4375"
"24640","8.6875","8.6875","8.6875"
"24660","7.71875","7.71875","7.71875"
"24680","9.25","9.25","9.25"
"24700","11.5","11.5","11.5"
"24720","6.875","6.875","6.875"
"24740","8.625","8.625","8.625"
"24760","7.96875","7.96875","7.96875"
"24780","10.5","10.5","10.5"
"24800","8.125","8.125","8.125"
"24820","14.125","14.125","14.125"
"24840","8.9375","8.9375","8.9375"
"24860","16","16","16"
"24880","8.1875","8.1875","8.1875"
"24900","7.96875","7.96875","7.96875"
"24920","8.8125","8.8125","8.8125"
"24940","9.0625","9.0625","9.0625"
"24960","8.5","8.5","8.5"
"24980","9.1875","9.1875","9.1875"
"25000","8.875","8.875","8.875"
"25020","7.0625","7.0625","7.0625"
"25040","8.25","8.25","8.25"
"25060","7.5","7.5","7.5"
"25080","6.75","6.75","6.75"
"25100","46.25","46.25","46.25"
"25120","9.5625","9.5625","9.5625"
"25140","8.3125","8.3125","8.3125"
"25160","8.25","8.25","8.25"
"25180","8.8125","8.8125","8.8125"
"25200","6.65625","6.65625","6.65625"
"25220","13.0625","13.0625","13.0625"
"25240","7.65625","7.65625","7.65625"
"25260","10.9375","10.9375","10.9375"
"25280","10.5","10.5","10.5"
"25300","7.25","7.25","7.25"
"25320","6.75","6.75","6.75"
"25340","9.75","9.75","9.75"
"25360","7.25","7.25","7.25"
"25380","7.71875","7.71875","7.71875"
"25400","8.4375","8.4375","8.4375"
"25420","9.125","9.125","9.125"
"25440","6.78125","6.78125","6.78125"
"25460","8.6875","8.6875","8.6875"
"25480","8.125","8.125","8.125"
"25500","8.25","8.25","8.25"
"25520","8.625","8.625","8.625"
"25540","7.1875","7.1875","7.1875"
"25560","10.5","10.5","10.5"
"25580","7.21875","7.21875","7.21875"
"25600","7.03125","7.03125","7.03125"
"25620","7.25","7.25","7.25"
"25640","6.9375","6.9375","6.9375"
"25660","10.75","10.75","10.75"
"25680","6.46875","6.46875","6.46875"
"25700","9.25","9.25","9.25"
"25720","11.875","11.875","11.875"
"25740","7.8125","7.8125","7.8125"
"25760","7.75","7.75","7.75"
"25780","7.84375","7.84375","7.84375"
"25800","9.5","9.5","9.5"
"25820","8.75","8.75","8.75"
"25840","11.125","11.125","11.125"
"25860","6.75","6.75","6.75"
"25880","9.125","9.125","9.125"
"25900","8.1875","8.1875","8.1875"
"25920","7.53125","7.53125","7.53125"
"25940","8.4375","8.4375","8.4375"
"25960","7.375","7.375","7.375"
"25980","12.625","12.625","12.625"
"26000","9.9375","9.9375","9.9375"
"26020","6.53125","6.53125","6.53125"
"26040","8.6875","8.6875","8.6875"
"26060","12.75","12.75","12.75"
"26080","7.25","7.25","7.25"
"26100","8.0625","8.0625","8.0625"
"26120","9.125","9.125","9.125"
"26140","8.125","8.125","8.125"
"26160","7.90625","7.90625","7.90625"
"26180","9.8125","9.8125","9.8125"
"26200","8.8125","8.8125","8.8125"
"26220","9.3125","9.3125","9.3125"
"26240","8","8","8"
